user_id,wall_count,daily_posts,3_day_posts,week_posts,month_posts,two_week_posts
228364854,44656.0,40.0,40.0,40.0,40.0,40.0
153764349,13806.0,40.0,40.0,40.0,40.0,40.0
1241088,15845.0,40.0,40.0,40.0,40.0,40.0
53419674,75378.0,40.0,40.0,40.0,40.0,40.0
5355373,26201.0,40.0,40.0,40.0,40.0,40.0
367770199,34529.0,40.0,40.0,40.0,40.0,40.0
402418059,59.0,40.0,40.0,40.0,40.0,40.0
4647593,281.0,40.0,40.0,40.0,40.0,40.0
6424165,21793.0,40.0,40.0,40.0,40.0,40.0
33632982,11082.0,40.0,40.0,40.0,40.0,40.0
46078129,16189.0,38.0,40.0,40.0,40.0,40.0
7138048,13063.0,38.0,40.0,40.0,40.0,40.0
153610632,66290.0,38.0,40.0,40.0,40.0,40.0
248978856,2092.0,36.0,40.0,40.0,40.0,40.0
200612358,44.0,34.0,40.0,40.0,40.0,40.0
6093576,14406.0,32.0,40.0,40.0,40.0,40.0
32073393,9114.0,30.0,40.0,40.0,40.0,40.0
121569339,20785.0,30.0,40.0,40.0,40.0,40.0
105103702,1372.0,30.0,40.0,40.0,40.0,40.0
126110886,9079.0,28.0,40.0,40.0,40.0,40.0
29459928,11422.0,26.0,40.0,40.0,40.0,40.0
34766936,36392.0,26.0,40.0,40.0,40.0,40.0
159651924,5100.0,26.0,40.0,40.0,40.0,40.0
70916162,11767.0,24.0,40.0,40.0,40.0,40.0
25556513,19479.0,24.0,40.0,40.0,40.0,40.0
67422075,5073.0,24.0,40.0,40.0,40.0,40.0
10611635,15322.0,24.0,40.0,40.0,40.0,40.0
168524447,9754.0,24.0,40.0,40.0,40.0,40.0
8761179,37215.0,22.0,40.0,40.0,40.0,40.0
468720008,33.0,22.0,40.0,40.0,40.0,40.0
9867891,22700.0,22.0,40.0,40.0,40.0,40.0
9961153,16322.0,22.0,40.0,40.0,40.0,40.0
831374,18364.0,20.0,40.0,40.0,40.0,40.0
5152453,35623.0,20.0,40.0,40.0,40.0,40.0
430608693,2088.0,20.0,40.0,40.0,40.0,40.0
140809700,32507.0,20.0,40.0,40.0,40.0,40.0
6815279,68533.0,18.0,40.0,40.0,40.0,40.0
72155136,7779.0,18.0,40.0,40.0,40.0,40.0
20843,28847.0,18.0,40.0,40.0,40.0,40.0
19899231,48783.0,18.0,40.0,40.0,40.0,40.0
360557738,509.0,18.0,40.0,40.0,40.0,40.0
29840,31318.0,16.0,40.0,40.0,40.0,40.0
89513232,6594.0,16.0,40.0,40.0,40.0,40.0
7969573,9375.0,16.0,40.0,40.0,40.0,40.0
98407566,7860.0,16.0,40.0,40.0,40.0,40.0
186665747,1008.0,14.0,40.0,40.0,40.0,40.0
206186029,4750.0,14.0,40.0,40.0,40.0,40.0
99877464,64823.0,14.0,40.0,40.0,40.0,40.0
319200945,2017.0,14.0,40.0,40.0,40.0,40.0
1142961,15385.0,12.0,40.0,40.0,40.0,40.0
249033,9105.0,12.0,40.0,40.0,40.0,40.0
22253483,18349.0,12.0,40.0,40.0,40.0,40.0
2818498,38293.0,12.0,40.0,40.0,40.0,40.0
170707293,4078.0,12.0,40.0,40.0,40.0,40.0
74163458,6312.0,12.0,40.0,40.0,40.0,40.0
87460467,2035.0,12.0,40.0,40.0,40.0,40.0
5799533,1421.0,12.0,40.0,40.0,40.0,40.0
37183230,10358.0,12.0,40.0,40.0,40.0,40.0
138633048,156.0,12.0,40.0,40.0,40.0,40.0
158324395,38859.0,12.0,40.0,40.0,40.0,40.0
327898895,9891.0,12.0,40.0,40.0,40.0,40.0
1895814,3242.0,12.0,40.0,40.0,40.0,40.0
397698334,1766.0,10.0,40.0,40.0,40.0,40.0
99725451,4360.0,10.0,40.0,40.0,40.0,40.0
321229793,1658.0,10.0,40.0,40.0,40.0,40.0
387349714,1366.0,10.0,40.0,40.0,40.0,40.0
1319434,7340.0,10.0,40.0,40.0,40.0,40.0
23475292,6794.0,10.0,40.0,40.0,40.0,40.0
30609460,3541.0,10.0,40.0,40.0,40.0,40.0
1637612,21664.0,10.0,40.0,40.0,40.0,40.0
374592954,1217.0,10.0,40.0,40.0,40.0,40.0
19590443,28453.0,10.0,40.0,40.0,40.0,40.0
10905941,2839.0,8.0,40.0,40.0,40.0,40.0
1493327,5634.0,8.0,40.0,40.0,40.0,40.0
3787380,16898.0,8.0,40.0,40.0,40.0,40.0
202568192,1537.0,8.0,40.0,40.0,40.0,40.0
10331161,11493.0,8.0,40.0,40.0,40.0,40.0
33148310,7725.0,8.0,40.0,40.0,40.0,40.0
150413714,19990.0,6.0,40.0,40.0,40.0,40.0
858704,11921.0,6.0,40.0,40.0,40.0,40.0
91182727,438.0,6.0,40.0,40.0,40.0,40.0
2827492,4977.0,6.0,40.0,40.0,40.0,40.0
74431478,65673.0,6.0,40.0,40.0,40.0,40.0
155513760,2608.0,6.0,40.0,40.0,40.0,40.0
14257439,9402.0,6.0,40.0,40.0,40.0,40.0
25906692,1782.0,6.0,40.0,40.0,40.0,40.0
46192491,3744.0,6.0,40.0,40.0,40.0,40.0
372373,11238.0,6.0,40.0,40.0,40.0,40.0
76396141,4957.0,6.0,40.0,40.0,40.0,40.0
169506863,9376.0,6.0,40.0,40.0,40.0,40.0
1077396,15352.0,6.0,40.0,40.0,40.0,40.0
2960313,34647.0,6.0,40.0,40.0,40.0,40.0
11741472,2360.0,6.0,40.0,40.0,40.0,40.0
150519514,26279.0,6.0,40.0,40.0,40.0,40.0
1095882,21848.0,4.0,40.0,40.0,40.0,40.0
185166564,1762.0,4.0,40.0,40.0,40.0,40.0
11239992,3220.0,4.0,40.0,40.0,40.0,40.0
28993058,17187.0,4.0,40.0,40.0,40.0,40.0
89652648,796.0,4.0,40.0,40.0,40.0,40.0
2228527,7194.0,4.0,40.0,40.0,40.0,40.0
138408239,42104.0,4.0,40.0,40.0,40.0,40.0
5008052,16631.0,4.0,40.0,40.0,40.0,40.0
31858654,2532.0,4.0,40.0,40.0,40.0,40.0
1443865,28398.0,4.0,40.0,40.0,40.0,40.0
15270622,2481.0,4.0,40.0,40.0,40.0,40.0
247267564,47.0,4.0,40.0,40.0,40.0,40.0
3595261,9786.0,2.0,40.0,40.0,40.0,40.0
2762756,5517.0,2.0,40.0,40.0,40.0,40.0
159199,5144.0,2.0,40.0,40.0,40.0,40.0
88442147,9771.0,2.0,40.0,40.0,40.0,40.0
80580281,3339.0,2.0,40.0,40.0,40.0,40.0
13290445,7641.0,2.0,40.0,40.0,40.0,40.0
86636948,1719.0,2.0,40.0,40.0,40.0,40.0
53601997,6194.0,2.0,40.0,40.0,40.0,40.0
55354991,18398.0,2.0,40.0,40.0,40.0,40.0
145182894,12685.0,2.0,40.0,40.0,40.0,40.0
166028954,24779.0,2.0,40.0,40.0,40.0,40.0
34254993,7653.0,0.0,40.0,40.0,40.0,40.0
89315530,7029.0,0.0,40.0,40.0,40.0,40.0
1212064,1268.0,0.0,40.0,40.0,40.0,40.0
2894665,762.0,0.0,40.0,40.0,40.0,40.0
8862907,7016.0,0.0,40.0,40.0,40.0,40.0
84114719,2691.0,0.0,40.0,40.0,40.0,40.0
262401402,2252.0,0.0,40.0,40.0,40.0,40.0
97175729,1413.0,0.0,40.0,40.0,40.0,40.0
7879785,27534.0,0.0,40.0,40.0,40.0,40.0
17026370,2979.0,0.0,40.0,40.0,40.0,40.0
1656671,25971.0,0.0,40.0,40.0,40.0,40.0
367457886,19833.0,0.0,40.0,40.0,40.0,40.0
6182181,8253.0,0.0,40.0,40.0,40.0,40.0
9409270,3333.0,0.0,40.0,40.0,40.0,40.0
73043423,862.0,0.0,40.0,40.0,40.0,40.0
109054639,9736.0,0.0,40.0,40.0,40.0,40.0
18143901,9459.0,0.0,40.0,40.0,40.0,40.0
14172624,1800.0,0.0,40.0,40.0,40.0,40.0
141426789,191.0,0.0,40.0,40.0,40.0,40.0
251411654,3412.0,0.0,40.0,40.0,40.0,40.0
12128143,23783.0,0.0,40.0,40.0,40.0,40.0
153693417,23724.0,0.0,40.0,40.0,40.0,40.0
160568457,14107.0,0.0,40.0,40.0,40.0,40.0
303010766,446.0,0.0,40.0,40.0,40.0,40.0
32709852,4326.0,0.0,40.0,40.0,40.0,40.0
644482,1783.0,0.0,40.0,40.0,40.0,40.0
7506567,7584.0,0.0,40.0,40.0,40.0,40.0
56089469,4381.0,0.0,40.0,40.0,40.0,40.0
116537664,3391.0,0.0,40.0,40.0,40.0,40.0
123507432,33309.0,0.0,40.0,40.0,40.0,40.0
444065625,265.0,0.0,40.0,40.0,40.0,40.0
20495977,19996.0,0.0,40.0,40.0,40.0,40.0
5640723,11801.0,38.0,38.0,40.0,40.0,40.0
9641631,2311.0,38.0,38.0,40.0,40.0,40.0
417516,25659.0,38.0,38.0,40.0,40.0,40.0
41602459,3443.0,36.0,38.0,40.0,40.0,40.0
140802188,4873.0,30.0,38.0,40.0,40.0,40.0
103301897,20045.0,22.0,38.0,40.0,40.0,40.0
138579347,17776.0,20.0,38.0,40.0,40.0,40.0
97984789,4354.0,18.0,38.0,40.0,40.0,40.0
31652911,1288.0,16.0,38.0,40.0,40.0,40.0
8652764,16009.0,14.0,38.0,40.0,40.0,40.0
1842091,10178.0,10.0,38.0,40.0,40.0,40.0
12369273,3634.0,10.0,38.0,40.0,40.0,40.0
8171543,4641.0,10.0,38.0,40.0,40.0,40.0
17620030,5925.0,8.0,38.0,40.0,40.0,40.0
9646522,13429.0,6.0,38.0,40.0,40.0,40.0
64747378,7520.0,2.0,38.0,40.0,40.0,40.0
3385759,13737.0,2.0,38.0,40.0,40.0,40.0
